기업명,평정,직전등급,직전전망,현재등급,현재전망,등급결정일,등급확정일,유효기간,요지,재무,보고서,Type
(주)파라다이스글로벌,수시,A,Negative,A-,Stable,2020.10.07,2020.10.07,2021.04.29,,,,기업신용평가
(주)에스비아이저축은행,본,,,A-,Stable,2020.09.17,2020.09.18,2021.09.18,,,,기업신용평가
강릉에코파워(주),본,,,AA-,Stable,2020.09.18,2020.09.18,2021.09.18,,,,기업신용평가
에스케이이엔에스(주),수시,AA+,Stable,AA+,Negative,2020.09.14,2020.09.15,2027.04.12,,,,기업신용평가
신영증권(주),정기,AA-,Stable,AA-,Stable,2020.09.10,2020.09.11,2021.05.14,,,,기업신용평가
유안타저축은행(주),본,,,BBB,Stable,2020.09.10,2020.09.10,2021.09.10,,,,기업신용평가
(주)DGB캐피탈,수시,A,Positive,A+,Stable,2020.09.02,2020.09.02,2021.06.23,,,,기업신용평가
노무라금융투자(주),본,,,AA-,Stable,2020.08.28,2020.08.28,2021.08.28,,,,기업신용평가
현대차증권(주),수시,A+,Stable,A+,Positive,2020.08.20,2020.08.20,2021.02.27,,,,기업신용평가
농협금융지주(주),본,,,AAA,Stable,2020.07.30,2020.07.30,2021.07.30,,,,기업신용평가
(주)애큐온저축은행,수시,,,BBB,Stable,2020.07.28,2020.07.28,2021.07.15,,,,기업신용평가
효성티앤씨(주),본,,,A,Stable,2020.07.20,2020.07.21,2021.06.23,,,,기업신용평가
(주)고려저축은행,본,,,A-,Stable,2020.06.29,2020.06.30,2021.06.30,,,,기업신용평가
(주)동원엔터프라이즈,정기,A+,Stable,A+,Stable,2020.06.29,2020.06.30,2020.09.17,,,,기업신용평가
(주)디비저축은행,정기,A-,Stable,A-,Stable,2020.06.29,2020.06.30,2020.10.23,,,,기업신용평가
(주)엠에스오토텍,정기,BB,Negative,BB,Negative,2020.06.29,2020.06.30,2021.01.22,,,,기업신용평가
(주)예가람저축은행,본,,,BBB+,Stable,2020.06.29,2020.06.30,2021.06.30,,,,기업신용평가
(주)오에스비저축은행,본,,,BBB,Stable,2020.06.29,2020.06.30,2021.06.30,,,,기업신용평가
(주)전북은행,본,,,AA+,Stable,2020.06.29,2020.06.30,2021.06.30,,,,기업신용평가
(주)페퍼저축은행,본,,,BBB,Stable,2020.06.29,2020.06.30,2021.06.30,,,,기업신용평가
(주)한화저축은행,본,,,A-,Stable,2020.06.29,2020.06.30,2021.06.30,,,,기업신용평가
상호저축은행중앙회,정기,AA+,Stable,AA+,Stable,2020.06.29,2020.06.30,2020.11.29,,,,기업신용평가
에스케이이엔에스(주),정기,AA+,Stable,AA+,Stable,2020.06.30,2020.06.30,2027.04.12,,,,기업신용평가
유안타저축은행(주),정기,BBB,Stable,BBB,Stable,2020.06.29,2020.06.30,2020.09.10,,,,기업신용평가
(주)JB금융지주,본,,,AA+,Stable,2020.06.26,2020.06.29,2021.06.29,,,,기업신용평가
(주)에스비아이저축은행,정기,A-,Stable,A-,Stable,2020.06.26,2020.06.29,2020.09.20,,,,기업신용평가
(주)코람코자산신탁,본,,,A,Negative,2020.06.29,2020.06.29,2021.06.29,,,,기업신용평가
동원산업(주),정기,AA-,Stable,AA-,Stable,2020.06.29,2020.06.29,2021.10.28,,,,기업신용평가
롯데케미칼(주),정기,AA+,Stable,AA+,Stable,2020.06.29,2020.06.29,2026.04.28,,,,기업신용평가
스튜디오드래곤(주),본,,,A-,Stable,2020.06.29,2020.06.29,2021.06.29,,,,기업신용평가
유안타증권(주),본,,,A+,Stable,2020.06.29,2020.06.29,2021.06.29,,,,기업신용평가
제이티저축은행(주),정기,BBB-,Stable,BBB-,Stable,2020.06.26,2020.06.29,2020.10.16,,,,기업신용평가
중국농업은행서울지점,정기,AAA,Stable,AAA,Stable,2020.06.29,2020.06.29,2020.12.05,,,,기업신용평가
하이투자증권(주),본,,,A+,Stable,2020.06.29,2020.06.29,2021.06.29,,,,기업신용평가
현대제철(주),정기,AA,Stable,AA,Stable,2020.06.29,2020.06.29,2024.01.24,,,,기업신용평가
(주)광주은행,본,,,AA+,Stable,2020.06.25,2020.06.26,2021.06.26,,,,기업신용평가
(주)신세계,정기,AA,Stable,AA,Stable,2020.06.25,2020.06.26,2022.07.31,,,,기업신용평가
(주)신세계푸드,정기,A+,Stable,A+,Stable,2020.06.26,2020.06.26,2020.11.29,,,,기업신용평가
(주)이마트,정기,AA,Stable,AA,Stable,2020.06.25,2020.06.26,2022.01.10,,,,기업신용평가
엘지디스플레이(주),정기,A+,Negative,A+,Negative,2020.06.25,2020.06.26,2022.06.02,,,,기업신용평가
중소벤처기업진흥공단,본,,,AAA,Stable,2020.06.26,2020.06.26,2021.06.26,,,,기업신용평가
케이티비투자증권(주),본,,,A-,Stable,2020.06.25,2020.06.26,2021.06.26,,,,기업신용평가
키움증권(주),본,,,AA-,Stable,2020.06.26,2020.06.26,2021.06.26,,,,기업신용평가
한국농어촌공사,정기,AAA,Stable,AAA,Stable,2020.06.26,2020.06.26,2022.06.22,,,,기업신용평가
한국지역난방공사,정기,AAA,Stable,AAA,Stable,2020.06.26,2020.06.26,2037.06.29,,,,기업신용평가
현대트랜시스(주),정기,AA-,Stable,AA-,Stable,2020.06.25,2020.06.26,2022.02.28,,,,기업신용평가
휴켐스(주),정기,A+,Stable,A+,Stable,2020.06.26,2020.06.26,2022.08.04,,,,기업신용평가
(주)디비메탈,정기,CCC,Stable,CCC,Stable,2020.06.24,2020.06.25,2022.09.12,,,,기업신용평가
(주)팜한농,정기,A,Stable,A,Stable,2020.06.25,2020.06.25,2022.02.16,,,,기업신용평가
에이프로젠제약(주),정기,B-,Stable,B-,Positive,2020.06.25,2020.06.25,2022.07.04,,,,기업신용평가
이베스트투자증권(주),본,,,A,Stable,2020.06.24,2020.06.25,2021.06.25,,,,기업신용평가
현대위아(주),정기,AA-,Stable,AA-,Stable,2020.06.25,2020.06.25,2023.04.11,,,,기업신용평가
현대차증권(주),정기,A+,Stable,A+,Stable,2020.06.25,2020.06.25,2021.02.27,,,,기업신용평가
(재)한국장학재단,정기,AAA,Stable,AAA,Stable,2020.06.24,2020.06.24,2020.09.01,,,,기업신용평가
(주)신세계사이먼,본,,,A+,Stable,2020.06.23,2020.06.24,2021.06.24,,,,기업신용평가
대우조선해양(주),정기,BBB-,Stable,BBB-,Positive,2020.06.23,2020.06.24,2020.07.18,,,,기업신용평가
동국산업(주),정기,BBB+,Stable,BBB+,Stable,2020.06.24,2020.06.24,2020.12.27,,,,기업신용평가
롯데쇼핑(주),정기,AA,Stable,AA,Negative,2020.06.24,2020.06.24,2043.11.08,,,,기업신용평가
삼성물산(주),정기,AA+,Stable,AA+,Stable,2020.06.24,2020.06.24,2020.12.01,,,,기업신용평가
에이치디씨현대이피(주),정기,A-,Stable,A-,Stable,2020.06.24,2020.06.24,2020.11.01,,,,기업신용평가
(주)DGB캐피탈,본,,,A,Positive,2020.06.23,2020.06.23,2021.06.23,,,,기업신용평가
(주)이랜드리테일,본,,,BBB+,Stable,2020.06.22,2020.06.23,2021.06.23,,,,기업신용평가
(주)이랜드월드,본,,,BBB,Stable,2020.06.23,2020.06.23,2021.06.23,,,,기업신용평가
(주)파루,정기,B,Stable,B,Stable,2020.06.22,2020.06.23,2020.10.23,,,,기업신용평가
교보증권(주),본,,,A+,Positive,2020.06.23,2020.06.23,2021.06.23,,,,기업신용평가
서울주택도시공사,정기,AAA,Stable,AAA,Stable,2020.06.22,2020.06.23,2020.06.25,,,,기업신용평가
중국공상은행서울지점,본,,,AAA,Stable,2020.06.23,2020.06.23,2021.06.23,,,,기업신용평가
현대글로비스(주),정기,AA,Stable,AA,Stable,2020.06.22,2020.06.23,2020.10.31,,,,기업신용평가
기아(주),정기,AA,Stable,AA,Stable,2020.06.22,2020.06.22,2024.02.15,,,,기업신용평가
대상(주),정기,AA-,Stable,AA-,Stable,2020.06.22,2020.06.22,2022.01.23,,,,기업신용평가
아이엔지은행서울지점,정기,AAA,Stable,AAA,Stable,2020.06.19,2020.06.22,2020.10.14,,,,기업신용평가
에스케이텔레콤(주),정기,AAA,Stable,AAA,Stable,2020.06.19,2020.06.22,2036.03.04,,,,기업신용평가
한국전력공사,정기,AAA,Stable,AAA,Stable,2020.06.22,2020.06.22,2029.08.27,,,,기업신용평가
현대자동차(주),정기,AA+,Stable,AA+,Stable,2020.06.22,2020.06.22,2020.11.28,,,,기업신용평가
(주)금성백조주택,본,,,BBB-,Stable,2020.06.18,2020.06.19,2021.06.19,,,,기업신용평가
(주)엘지유플러스,정기,AA,Stable,AA,Stable,2020.06.19,2020.06.19,2026.01.26,,,,기업신용평가
여수광양항만공사,정기,AAA,Stable,AAA,Stable,2020.06.18,2020.06.19,2023.03.13,,,,기업신용평가
울산항만공사,정기,AAA,Stable,AAA,Stable,2020.06.18,2020.06.19,2026.11.15,,,,기업신용평가
인천항만공사,정기,AAA,Stable,AAA,Stable,2020.06.18,2020.06.19,2033.10.23,,,,기업신용평가
평택에너지서비스(주),수시,A-,Stable,취소,,2020.06.19,2020.06.19,2020.11.27,,,,기업신용평가
피에스앤마케팅(주),본,,,A+,Stable,2020.06.19,2020.06.19,2021.06.19,,,,기업신용평가
한국관광공사,본,,,AAA,Stable,2020.06.18,2020.06.19,2021.06.19,,,,기업신용평가
한국전력기술(주),정기,AA,Stable,AA,Stable,2020.06.19,2020.06.19,2022.06.15,,,,기업신용평가
한국해외인프라도시개발지원공사,정기,AAA,Stable,AAA,Stable,2020.06.18,2020.06.19,2020.12.23,,,,기업신용평가
(주)반도건설,본,,,BBB+,Stable,2020.06.18,2020.06.18,2021.06.18,,,,기업신용평가
에스케이하이닉스(주),정기,AA,Stable,AA,Stable,2020.06.17,2020.06.18,2023.02.19,,,,기업신용평가
(주)지에스글로벌,정기,A-,Stable,A-,Stable,2020.06.15,2020.06.16,2020.09.10,,,,기업신용평가
페이퍼코리아(주),정기,B-,Stable,B-,Stable,2020.06.15,2020.06.16,2021.01.21,,,,기업신용평가
한국콜마(주),정기,A-,Stable,A-,Stable,2020.06.16,2020.06.16,2021.06.19,,,,기업신용평가
(주)LF,정기,AA-,Stable,AA-,Stable,2020.06.15,2020.06.15,2021.12.05,,,,기업신용평가
농업협동조합중앙회,본,,,AAA,Stable,2020.06.15,2020.06.15,2021.06.15,,,,기업신용평가
농협금융지주(주),정기,AAA,Stable,AAA,Stable,2020.06.15,2020.06.15,2020.07.30,,,,기업신용평가
두산인프라코어(주),정기,BBB,Stable,BBB◆,,2020.06.15,2020.06.15,2022.08.01,,,,기업신용평가
두산중공업(주),정기,BBB,Negative,BBB-◆,,2020.06.15,2020.06.15,2022.05.04,,,,기업신용평가
수산업협동조합중앙회,본,,,AAA,Stable,2020.06.12,2020.06.15,2021.06.15,,,,기업신용평가
한화토탈(주),정기,AA,Stable,AA,Negative,2020.06.12,2020.06.15,2022.04.27,,,,기업신용평가
(주)엘아이지,정기,A+,Stable,A+,Stable,2020.06.11,2020.06.12,2020.10.17,,,,기업신용평가
(주)종근당,본,,,A+,Stable,2020.06.12,2020.06.12,2021.06.12,,,,기업신용평가
에스케이종합화학(주),정기,AA,Stable,AA,Stable,2020.06.12,2020.06.12,2022.10.25,,,,기업신용평가
오일허브코리아여수(주),정기,A+,Stable,A+,Stable,2020.06.12,2020.06.12,2021.03.16,,,,기업신용평가
한국자산관리공사,정기,AAA,Stable,AAA,Stable,2020.06.12,2020.06.12,2021.11.25,,,,기업신용평가
한전케이피에스(주),정기,AA,Stable,AA,Stable,2020.06.12,2020.06.12,2020.10.11,,,,기업신용평가
KR모터스(주),정기,B-,Stable,B-,Stable,2020.06.10,2020.06.11,2022.07.18,,,,기업신용평가
강릉에코파워(주),정기,AA-,Stable,AA-,Stable,2020.06.10,2020.06.10,2020.08.07,,,,기업신용평가
스튜디오드래곤(주),정기,A-,Stable,A-,Stable,2020.06.09,2020.06.10,2020.09.06,,,,기업신용평가
현대스틸산업(주),본,,,A,Stable,2020.06.10,2020.06.10,2021.06.10,,,,기업신용평가
에스케이가스(주),정기,AA-,Stable,AA-,Stable,2020.06.08,2020.06.09,2022.04.17,,,,기업신용평가
한국남동발전(주),정기,AAA,Stable,AAA,Stable,2020.06.08,2020.06.08,2034.12.15,,,,기업신용평가
한국동서발전(주),정기,AAA,Stable,AAA,Stable,2020.06.08,2020.06.08,2027.04.28,,,,기업신용평가
한국수출입은행,본,,,AAA,Stable,2020.06.08,2020.06.08,2021.06.08,,,,기업신용평가
한국중부발전(주),정기,AAA,Stable,AAA,Stable,2020.06.08,2020.06.08,2037.08.03,,,,기업신용평가
(주)케이티,정기,AAA,Stable,AAA,Stable,2020.06.04,2020.06.05,2036.01.28,,,,기업신용평가
한국주택금융공사,본,,,AAA,Stable,2020.06.05,2020.06.05,2021.06.05,,,,기업신용평가
(주)신세계센트럴시티,정기,AA-,Stable,AA-,Stable,2020.06.04,2020.06.04,2021.07.27,,,,기업신용평가
부산도시공사,정기,AA+,Stable,AA+,Stable,2020.06.04,2020.06.04,2021.06.16,,,,기업신용평가
지에스파워(주),정기,AA,Stable,AA,Stable,2020.06.04,2020.06.04,2026.05.25,,,,기업신용평가
해태제과식품(주),정기,A,Negative,A,Negative,2020.06.04,2020.06.04,2020.07.20,,,,기업신용평가
(주)한라홀딩스,정기,A,Stable,A,Stable,2020.06.02,2020.06.03,2021.03.04,,,,기업신용평가
대한석탄공사,정기,AA+,Stable,AA+,Stable,2020.05.29,2020.06.01,2020.09.17,,,,기업신용평가
에스케이에너지(주),정기,AA+,Stable,AA+,Negative,2020.06.01,2020.06.01,2025.06.25,,,,기업신용평가
에스케이인천석유화학(주),정기,AA-,Stable,AA-,Negative,2020.06.01,2020.06.01,2024.03.30,,,,기업신용평가
에쓰오일(주),정기,AA+,Stable,AA+,Negative,2020.06.01,2020.06.01,2027.02.22,,,,기업신용평가
지에스칼텍스(주),정기,AA+,Stable,AA+,Stable,2020.06.01,2020.06.01,2026.04.08,,,,기업신용평가
현대오일뱅크(주),정기,AA-,Stable,AA-,Stable,2020.06.01,2020.06.01,2024.07.07,,,,기업신용평가
화이트코리아(주),본,,,B+,Stable,2020.06.01,2020.06.01,2021.06.01,,,,기업신용평가
(주)에스알,정기,AA+,Stable,AA+,Stable,2020.05.29,2020.05.29,2023.06.28,,,,기업신용평가
DB금융투자(주),본,,,A,Positive,2020.05.29,2020.05.29,2021.05.29,,,,기업신용평가
한국광물자원공사,정기,AAA,Stable,AAA,Stable,2020.05.29,2020.05.29,2036.02.18,,,,기업신용평가
한국철도공사,정기,AAA,Stable,AAA,Stable,2020.05.29,2020.05.29,2046.11.23,,,,기업신용평가
현대캐피탈(주),본,,,AA,Stable,2020.05.29,2020.05.29,2021.05.29,,,,기업신용평가
롯데하이마트(주),정기,AA-,Stable,AA-,Stable,2020.05.28,2020.05.28,2022.10.28,,,,기업신용평가
삼척블루파워(주),정기,AA-,Stable,AA-,Stable,2020.05.28,2020.05.28,2020.05.29,,,,기업신용평가
중소기업은행,본,,,AAA,Stable,2020.05.28,2020.05.28,2021.05.28,,,,기업신용평가
(주)노루페인트,정기,A-,Stable,A-,Stable,2020.05.26,2020.05.27,2021.06.09,,,,기업신용평가
(주)신한금융지주회사,정기,AAA,Stable,AAA,Stable,2020.05.27,2020.05.27,2045.06.25,,,,기업신용평가
한화에너지(주),정기,AA-,Stable,AA-,Negative,2020.05.26,2020.05.27,2022.02.16,,,,기업신용평가
(주)한화,정기,A+,Stable,A+,Stable,2020.05.26,2020.05.26,2020.06.08,,,,기업신용평가
한화디펜스(주),정기,AA-,Stable,AA-,Stable,2020.05.25,2020.05.26,2020.07.19,,,,기업신용평가
(주)현대케피코,정기,A+,Stable,A+,Stable,2020.05.25,2020.05.25,2020.11.03,,,,기업신용평가
(주)흥화,본,,,BBB,Negative,2020.05.25,2020.05.25,2021.05.25,,,,기업신용평가
한국가스공사,정기,AAA,Stable,AAA,Stable,2020.05.25,2020.05.25,2044.08.22,,,,기업신용평가
현대커머셜(주),본,,,AA-,Stable,2020.05.25,2020.05.25,2021.05.25,,,,기업신용평가
(주)DGB금융지주,본,,,AAA,Stable,2020.05.21,2020.05.22,2021.05.22,,,,기업신용평가
(주)한국스탠다드차타드은행,본,,,AAA,Stable,2020.05.22,2020.05.22,2021.05.22,,,,기업신용평가
씨제이씨지브이(주),정기,A+↓,,A,Negative,2020.05.21,2020.05.22,2020.11.27,,,,기업신용평가
씨지앤율촌전력(주),본,,,A+,Stable,2020.05.22,2020.05.22,2021.05.22,,,,기업신용평가
중국건설은행서울지점,본,,,AAA,Stable,2020.05.21,2020.05.22,2021.05.22,,,,기업신용평가
지에스에너지(주),본,,,AA,Stable,2020.05.21,2020.05.22,2021.05.22,,,,기업신용평가
(주)케이씨씨,정기,AA,Negative,AA-,Stable,2020.05.20,2020.05.21,2020.09.12,,,,기업신용평가
수협은행,본,,,AAA,Stable,2020.05.21,2020.05.21,2021.05.21,,,,기업신용평가
에스케이(주),정기,AA+,Stable,AA+,Stable,2020.05.21,2020.05.21,2026.06.01,,,,기업신용평가
태광실업(주),정기,A+,Stable,A+,Stable,2020.05.21,2020.05.21,2022.06.29,,,,기업신용평가
(주)케이티에스테이트,본,,,AA-,Stable,2020.05.20,2020.05.20,2021.05.20,,,,기업신용평가
(주)지에스이앤알,정기,A+,Stable,A+,Stable,2020.05.19,2020.05.19,2020.06.04,,,,기업신용평가
롯데렌탈(주),정기,AA-,Negative,AA-,Negative,2020.05.18,2020.05.19,2022.05.31,,,,기업신용평가
한국항공우주산업(주),정기,AA-,Negative,AA-,Negative,2020.05.18,2020.05.19,2022.05.31,,,,기업신용평가
에스케이씨(주),정기,A+,Stable,A+,Stable,2020.05.15,2020.05.18,2022.02.23,,,,기업신용평가
한국서부발전(주),정기,AAA,Stable,AAA,Stable,2020.05.18,2020.05.18,2037.07.21,,,,기업신용평가
메리츠증권(주),정기,AA-,Stable,AA-,Stable,2020.05.15,2020.05.15,2021.04.10,,,,기업신용평가
(주)BNK금융지주,본,,,AAA,Stable,2020.05.13,2020.05.14,2021.05.14,,,,기업신용평가
(주)삼천리,정기,AA+,Stable,AA+,Stable,2020.05.14,2020.05.14,2021.05.27,,,,기업신용평가
(주)엘지하우시스,정기,AA-,Negative,AA-,Negative,2020.05.13,2020.05.14,2022.05.26,,,,기업신용평가
삼화페인트공업(주),정기,BBB+,Stable,BBB+,Stable,2020.05.13,2020.05.14,2021.03.31,,,,기업신용평가
신영증권(주),본,,,AA-,Stable,2020.05.14,2020.05.14,2021.05.14,,,,기업신용평가
엘지전자(주),정기,AA,Stable,AA,Stable,2020.05.14,2020.05.14,2030.02.02,,,,기업신용평가
현대건설(주),정기,AA-,Stable,AA-,Stable,2020.05.13,2020.05.14,2023.11.08,,,,기업신용평가
(주)우리금융저축은행,본,,,BBB+,Stable,2020.05.13,2020.05.13,2021.05.13,,,,기업신용평가
(주)포스코인터내셔널,정기,AA-,Stable,AA-,Stable,2020.05.13,2020.05.13,2022.07.17,,,,기업신용평가
HSD엔진(주),본,,,BB+,Stable,2020.05.11,2020.05.12,2021.05.12,,,,기업신용평가
(주)빙그레,정기,AA-,Stable,AA-,Stable,2020.05.08,2020.05.11,2020.11.28,,,,기업신용평가
(주)엘엑스인터내셔널,정기,AA-,Stable,AA-,Stable,2020.05.11,2020.05.11,2022.05.28,,,,기업신용평가
(주)녹십자,정기,AA-,Stable,AA-,Negative,2020.05.08,2020.05.08,2022.06.09,,,,기업신용평가
(주)티에스케이코퍼레이션,정기,A,Positive,A+,Stable,2020.05.08,2020.05.08,2020.08.02,,,,기업신용평가
엔에이치저축은행(주),정기,A,Stable,A,Stable,2020.05.08,2020.05.08,2020.09.20,,,,기업신용평가
한국비티엘인프라투융자회사,본,,,AA+,Stable,2020.05.07,2020.05.08,2021.05.08,,,,기업신용평가
한솔제지(주),정기,A,Stable,A,Stable,2020.05.07,2020.05.08,2020.06.09,,,,기업신용평가
삼성에스디아이(주),정기,AA,Stable,AA,Stable,2020.05.07,2020.05.07,2020.09.14,,,,기업신용평가
에스케이브로드밴드(주),수시,AA-↑,,AA,Stable,2020.05.06,2020.05.07,2022.02.03,,,,기업신용평가
인천도시공사,정기,AA+,Stable,AA+,Stable,2020.05.07,2020.05.07,2020.07.10,,,,기업신용평가
(주)우리카드,본,,,AA,Stable,2020.04.29,2020.04.29,2021.04.29,,,,기업신용평가
(주)파라다이스글로벌,본,,,A,Negative,2020.04.29,2020.04.29,2021.04.29,,,,기업신용평가
(주)한국씨티은행,정기,AAA,Stable,AAA,Stable,2020.04.29,2020.04.29,2036.08.01,,,,기업신용평가
KB캐피탈(주),본,,,AA-,Stable,2020.04.29,2020.04.29,2021.04.29,,,,기업신용평가
교통은행서울지점,본,,,AAA,Stable,2020.04.29,2020.04.29,2021.04.29,,,,기업신용평가
부산그린파워(주),본,,,BBB,Stable,2020.04.29,2020.04.29,2021.04.29,,,,기업신용평가
한국토지주택공사,정기,AAA,Stable,AAA,Stable,2020.04.29,2020.04.29,2034.01.28,,,,기업신용평가
광동제약(주),정기,A,Stable,A,Stable,2020.04.28,2020.04.28,2020.07.08,,,,기업신용평가
롯데컬처웍스(주),본,,,A+,Negative,2020.04.27,2020.04.28,2021.04.28,,,,기업신용평가
엘지이노텍(주),정기,AA-,Stable,AA-,Stable,2020.04.27,2020.04.28,2022.02.13,,,,기업신용평가
한국수력원자력(주),정기,AAA,Stable,AAA,Stable,2020.04.27,2020.04.27,2040.12.10,,,,기업신용평가
(주)엘지씨엔에스,정기,AA-,Stable,AA-,Stable,2020.04.24,2020.04.24,2022.04.16,,,,기업신용평가
(주)우리금융지주,본,,,AAA,Stable,2020.04.24,2020.04.24,2021.04.24,,,,기업신용평가
